uwYear,gender,carType,carCat,job,age,nYears,carVal,cover,density,claimSizeMD
2009,Female,B,Large,Unemployed,27,2,8710,0,184,2990
2009,Male,A,Medium,Unemployed,54,4,45860,1,14,319
2009,Female,C,Small,Employed,20,9,21350,0,184,961
2009,Male,D,Medium,Employed,28,2,34980,0,48,258
2009,Male,B,Large,Housewife,46,8,22165,0,124,1788
2009,Female,B,Large,Employed,23,9,9835,0,77,2519
2009,Male,D,Small,Employed,18,3,15180,0,233,366
2009,Male,E,Small,Housewife,31,3,15745,0,30,209
2009,Male,A,Small,Housewife,49,4,4975,1,284,61
2009,Male,E,Medium,Housewife,38,7,8365,0,100,583
2009,Male,B,Small,Employed,26,6,22380,0,223,72
2009,Female,E,Medium,Retired,54,3,23260,1,251,179
2009,Male,C,Small,Housewife,25,7,14145,0,277,1254
2009,Male,E,Small,Unemployed,29,0,25335,1,95,1500
2009,Male,E,Medium,Self-employed,23,0,29520,0,69,138
2009,Female,E,Small,Self-employed,51,9,6645,0,26,73
2009,Male,A,Medium,Housewife,35,1,48830,1,275,19
2009,Female,E,Medium,Unemployed,26,0,10150,1,249,6258
2009,Male,E,Small,Employed,51,2,10495,0,56,120
2009,Male,C,Large,Employed,26,7,4360,0,108,76
2009,Male,A,Small,Unemployed,20,7,15920,1,88,1744
2009,Male,B,Small,Self-employed,19,1,7865,0,123,163
2009,Female,A,Medium,Self-employed,56,8,16020,0,185,1390
2009,Male,E,Medium,Unemployed,26,13,11420,1,277,2679
2009,Male,E,Small,Employed,29,0,20280,0,207,742
2009,Female,A,Medium,Employed,44,1,11690,0,77,459
2009,Male,D,Medium,Employed,25,1,10020,1,87,1037
2009,Male,C,Small,Housewife,27,11,40960,0,22,1096
2009,Female,A,Medium,Employed,36,1,28800,0,126,889
2009,Female,B,Large,Unemployed,22,15,13970,0,251,299
2009,Male,C,Medium,Employed,23,0,26890,0,123,1028
2009,Female,E,Small,Housewife,32,10,2795,0,74,244
2009,Male,A,Medium,Employed,28,13,8140,0,18,518
2009,Male,D,Large,Self-employed,28,6,17930,0,103,207
2009,Female,D,Medium,Self-employed,44,0,38705,0,180,188
2009,Male,E,Medium,Employed,42,0,23865,0,96,259
2009,Female,D,Large,Housewife,73,5,16820,1,108,88
2009,Male,C,Small,Housewife,42,2,39220,0,28,335
2009,Female,B,Small,Employed,40,1,24260,1,259,705
2009,Female,D,Medium,Housewife,20,9,15265,1,114,870
2009,Male,B,Large,Housewife,22,9,15305,0,212,2430
2009,Female,A,Large,Employed,24,3,4485,0,92,768
2009,Male,A,Small,Employed,36,2,27965,0,63,430
2009,Male,A,Small,Self-employed,19,4,9550,1,51,661
2009,Male,B,Small,Housewife,27,1,8175,1,138,72
2009,Male,E,Medium,Housewife,25,0,21080,0,238,83
2009,Male,A,Large,Self-employed,52,0,17265,1,223,949
2009,Male,E,Medium,Self-employed,28,0,9885,0,110,13
2009,Male,A,Medium,Housewife,19,13,9760,0,156,130
2009,Male,D,Medium,Housewife,30,0,4130,0,59,1618
2009,Female,A,Small,Housewife,38,10,46360,0,150,41
2009,Male,B,Small,Unemployed,29,3,19555,1,124,1703
2009,Female,A,Small,Employed,30,0,8685,0,70,767
2009,Male,D,Medium,Employed,45,1,14830,1,148,990
2009,Male,B,Large,Unemployed,28,11,16965,1,25,572
2009,Male,E,Small,Retired,64,9,19705,0,84,151
2009,Male,E,Medium,Employed,18,2,17490,0,32,507
2009,Female,B,Small,Self-employed,30,0,16460,0,99,43
2009,Female,E,Large,Employed,19,0,6515,0,55,114
2009,Male,A,Large,Retired,49,5,5890,1,291,197
2009,Male,C,Small,Employed,22,1,19450,0,121,252
2009,Male,B,Large,Employed,18,3,13995,0,129,1238
2009,Female,E,Small,Self-employed,26,2,4020,1,219,366
2009,Female,B,Small,Employed,39,0,3770,0,113,166
2009,Male,E,Large,Housewife,51,0,12465,0,296,482
2009,Female,C,Small,Employed,24,8,16390,0,28,1243
2009,Male,E,Medium,Employed,28,1,14020,1,75,1213
2009,Male,C,Large,Employed,27,5,16950,1,275,1249
2009,Male,B,Medium,Self-employed,24,7,15045,1,254,1717
2009,Male,C,Medium,Employed,46,1,16620,0,138,869
2009,Female,D,Medium,Employed,28,5,20860,1,270,355
2009,Male,D,Large,Employed,46,3,26975,0,59,493
2009,Female,D,Small,Self-employed,31,12,21635,0,145,88
2009,Female,E,Small,Unemployed,27,14,10520,0,64,708
2009,Male,E,Medium,Employed,36,2,5630,1,22,306
2009,Male,A,Small,Housewife,24,1,20420,0,82,299
2009,Male,D,Medium,Employed,18,7,32720,0,100,98
2009,Male,C,Small,Unemployed,18,2,23420,1,130,433
2009,Female,C,Medium,Self-employed,18,2,15305,0,32,190
2009,Female,E,Medium,Housewife,31,1,4175,1,51,1219
2009,Female,B,Medium,Unemployed,19,9,29810,0,74,278
2009,Female,B,Small,Housewife,21,1,14990,0,254,1381
2009,Male,B,Small,Self-employed,44,2,14915,0,271,3177
2009,Male,B,Small,Unemployed,25,2,49655,0,69,582
2009,Female,D,Small,Employed,33,8,22995,1,148,163
2009,Male,B,Small,Employed,36,7,16370,0,24,677
2009,Female,A,Medium,Unemployed,26,7,10295,0,260,3025
2009,Male,E,Small,Housewife,37,14,12885,1,136,320
2009,Male,C,Large,Self-employed,51,5,15995,1,163,112
2009,Female,D,Medium,Unemployed,21,0,32715,1,60,939
2009,Male,E,Small,Self-employed,18,5,15980,0,202,4699
2009,Female,D,Large,Employed,36,10,7245,1,51,487
2009,Female,B,Small,Employed,38,2,11635,1,185,2149
2009,Male,E,Medium,Housewife,21,2,4580,0,29,1081
2009,Female,B,Large,Employed,25,5,17395,0,277,131
2009,Female,A,Small,Unemployed,27,1,47090,0,34,448
2009,Male,D,Small,Self-employed,30,5,24575,0,64,154
2009,Female,E,Medium,Employed,18,14,6890,0,30,769
2009,Male,D,Large,Employed,46,12,47220,0,273,120
2009,Female,B,Medium,Housewife,19,11,23520,0,254,85
2009,Male,D,Medium,Housewife,46,4,19150,1,123,1092
2009,Male,B,Medium,Employed,44,0,6760,1,201,632
2009,Male,B,Large,Self-employed,31,13,8985,0,35,1986
2009,Male,C,Medium,Self-employed,21,4,14685,0,145,277
2009,Male,A,Medium,Unemployed,29,10,19275,0,260,2468
2009,Male,B,Large,Self-employed,68,3,9505,1,294,1675
2009,Male,C,Small,Employed,38,5,13005,0,84,104
2009,Female,E,Medium,Unemployed,29,1,10145,0,39,605
2009,Male,B,Large,Housewife,34,2,21350,1,38,411
2009,Female,C,Large,Housewife,38,0,29485,1,290,310
2009,Male,D,Medium,Employed,21,8,37220,0,250,210
2009,Female,B,Small,Housewife,21,10,10305,0,66,558
2009,Female,D,Large,Self-employed,50,0,25670,0,28,34
2009,Male,C,Small,Employed,24,1,9785,0,69,533
2009,Male,C,Medium,Housewife,54,0,24160,1,38,517
2009,Female,A,Medium,Retired,69,4,1285,1,72,2118
2009,Male,B,Medium,Employed,42,3,29105,1,190,213
2009,Male,D,Small,Unemployed,44,2,14845,0,257,962
2009,Male,C,Medium,Self-employed,50,14,6670,1,35,372
2009,Male,D,Large,Employed,39,6,33210,1,178,440
2009,Male,A,Small,Self-employed,23,1,23935,1,216,282
2009,Male,A,Large,Unemployed,32,4,11965,1,94,294
2009,Female,B,Small,Unemployed,30,15,7120,1,238,2432
2009,Male,E,Large,Employed,30,0,18760,0,291,1027
2009,Male,D,Small,Unemployed,22,14,15480,0,213,413
2009,Female,B,Small,Housewife,20,12,22200,0,88,516
2009,Male,D,Small,Unemployed,28,1,24700,0,113,1427
2009,Male,A,Large,Employed,62,12,27760,1,85,306
2009,Male,A,Large,Housewife,47,9,25815,1,77,98
2009,Male,B,Medium,Self-employed,50,13,49540,1,31,602
2009,Female,C,Small,Employed,28,2,13955,1,286,74
2009,Female,C,Medium,Housewife,26,9,16675,1,51,189
2009,Male,E,Large,Employed,58,5,9255,1,107,1193
2009,Male,B,Large,Employed,32,2,23020,1,141,216
2009,Male,A,Large,Employed,30,1,21720,1,223,752
2009,Male,E,Large,Employed,47,1,11545,1,124,1136
2009,Female,C,Medium,Employed,24,3,2505,0,136,350
2009,Male,D,Medium,Unemployed,22,1,7440,0,35,1344
2009,Male,C,Medium,Self-employed,67,1,34205,1,163,2015
2009,Female,E,Medium,Housewife,33,7,48270,0,276,46
2009,Female,A,Medium,Employed,59,0,10985,1,201,746
2009,Male,A,Medium,Employed,23,8,9005,1,65,278
2009,Female,E,Medium,Employed,27,3,11770,0,124,290
2009,Male,D,Small,Employed,25,8,21270,1,282,578
2009,Male,A,Small,Housewife,43,7,6020,1,119,280
2009,Male,B,Large,Employed,47,1,22845,0,64,1253
2009,Male,E,Medium,Self-employed,69,0,7615,0,50,147
2009,Male,A,Large,Housewife,56,2,19855,1,83,134
2009,Male,E,Small,Self-employed,25,10,2725,0,64,63
2009,Male,A,Medium,Employed,39,6,18365,0,84,118
2009,Male,B,Small,Unemployed,24,7,6185,0,140,3342
2009,Male,A,Medium,Employed,20,7,23980,0,205,123
2009,Male,C,Small,Employed,39,7,7005,1,34,216
2009,Male,E,Small,Retired,60,10,7850,1,275,1395
2009,Male,C,Large,Retired,67,7,23980,1,76,866
2009,Male,A,Small,Unemployed,20,1,19780,0,62,1203
2009,Male,E,Small,Self-employed,30,3,1835,1,125,1631
2009,Male,E,Small,Housewife,26,0,13975,0,24,267
2009,Female,E,Medium,Unemployed,18,5,21425,0,66,3457
2009,Female,C,Large,Employed,47,5,7710,0,107,208
2009,Male,A,Small,Employed,29,3,8310,0,190,756
2009,Male,C,Medium,Employed,21,3,9640,0,277,1673
2009,Male,B,Medium,Unemployed,28,0,38995,0,163,50
2009,Female,B,Large,Unemployed,40,5,31745,0,63,118
2009,Male,A,Large,Employed,28,7,31355,1,275,308
2009,Female,C,Large,Self-employed,43,6,5815,1,168,152
2009,Female,C,Large,Housewife,42,1,20235,1,78,603
2009,Male,A,Medium,Employed,27,2,19645,1,60,92
2009,Male,B,Medium,Employed,36,14,22480,1,222,241
2009,Male,E,Medium,Unemployed,27,4,25765,0,210,2354
2009,Male,C,Medium,Unemployed,28,8,28800,0,60,560
2009,Male,A,Large,Employed,52,10,17510,0,170,631
2009,Male,C,Medium,Unemployed,31,2,28520,0,259,9
2009,Male,B,Large,Housewife,32,3,29575,1,69,129
2009,Female,B,Large,Unemployed,41,13,5715,1,202,440
2009,Male,D,Small,Housewife,33,8,48285,0,260,446
2009,Female,A,Large,Unemployed,44,0,18190,1,190,1235
2009,Male,E,Small,Housewife,47,1,5490,1,239,1528
2009,Male,A,Medium,Employed,37,5,9895,0,190,210
2009,Female,E,Small,Employed,22,5,26315,0,212,296
2009,Male,D,Medium,Employed,36,1,8400,1,125,1590
2009,Male,D,Small,Employed,28,13,18950,1,84,2050
2009,Male,D,Medium,Employed,43,0,24115,1,222,867
2009,Male,A,Medium,Housewife,28,8,27925,0,250,579
2009,Female,A,Medium,Housewife,42,11,15445,1,72,52
2009,Male,A,Medium,Unemployed,29,1,29350,0,271,262
2009,Male,D,Medium,Employed,35,3,4710,0,30,759
2009,Male,A,Large,Employed,33,2,48400,0,271,231
2009,Male,A,Small,Housewife,27,4,6965,0,150,1877
2009,Female,B,Small,Employed,40,4,30375,1,88,827
2009,Male,A,Medium,Housewife,30,1,43845,1,25,308
2009,Male,C,Small,Unemployed,24,13,7435,1,149,1561
2009,Female,B,Medium,Employed,29,13,32545,1,73,588
2009,Male,A,Medium,Self-employed,37,2,4185,1,113,2435
2009,Male,A,Medium,Housewife,55,15,46630,1,212,194
2009,Male,E,Large,Self-employed,48,12,5570,1,78,1039
2009,Male,E,Medium,Unemployed,28,12,11470,0,33,1864
2009,Male,A,Medium,Housewife,20,2,30260,1,61,222
2009,Female,C,Small,Self-employed,20,1,28925,1,170,113
2009,Male,E,Large,Self-employed,28,5,2245,1,284,146
2009,Male,C,Small,Unemployed,28,0,7350,0,223,1185
2009,Male,A,Small,Self-employed,35,5,7860,1,284,1039
2009,Male,A,Small,Housewife,39,4,6280,0,212,491
2009,Male,E,Medium,Self-employed,20,0,7545,0,238,994
2009,Male,E,Large,Unemployed,58,4,6280,1,140,164
2009,Female,A,Medium,Unemployed,25,0,1740,0,259,657
2009,Female,A,Small,Self-employed,32,8,6145,1,240,17
2009,Male,C,Small,Unemployed,21,1,16330,0,65,2273
2009,Male,C,Medium,Unemployed,18,7,20490,0,223,806
2009,Male,B,Small,Employed,30,4,6890,1,282,330
2009,Male,E,Large,Employed,21,7,11290,0,271,1724
2009,Male,D,Large,Unemployed,31,6,2225,1,203,452
2009,Male,E,Small,Employed,18,2,20655,1,62,562
2009,Male,B,Small,Housewife,41,4,9315,1,20,14
2009,Male,B,Medium,Unemployed,18,6,8535,0,150,2988
2009,Male,A,Medium,Employed,27,4,4890,0,129,976
2009,Male,B,Medium,Self-employed,36,0,26190,0,139,87
2009,Male,E,Large,Employed,26,0,8355,0,203,206
2009,Male,E,Large,Employed,55,1,9390,1,171,63
2009,Female,A,Medium,Employed,54,12,13085,1,223,93
2009,Male,E,Small,Unemployed,22,3,22525,0,190,5173
2009,Male,D,Small,Unemployed,19,0,9755,1,190,3870
2009,Female,C,Medium,Self-employed,31,14,8470,1,64,1045
2009,Male,E,Large,Unemployed,29,5,15390,0,149,2375
2009,Male,D,Small,Housewife,40,6,13630,0,141,58
2009,Male,A,Medium,Unemployed,41,10,21280,1,206,1299
2009,Female,B,Large,Self-employed,36,1,14820,1,92,815
2009,Male,E,Medium,Housewife,18,6,41610,1,223,2949
2009,Female,A,Medium,Employed,36,12,34880,0,207,655
2009,Male,A,Small,Self-employed,43,15,22650,1,294,65
2009,Male,C,Large,Self-employed,50,2,17450,1,110,768
2009,Female,B,Medium,Self-employed,27,1,18960,1,202,1024
2009,Male,D,Medium,Housewife,29,0,3730,0,259,1030
2009,Male,B,Large,Retired,61,14,2170,0,251,1975
2009,Female,A,Medium,Housewife,44,0,16605,1,273,528
2009,Female,D,Medium,Employed,31,11,30910,0,185,493
2009,Female,E,Small,Employed,26,7,40620,0,130,8
2009,Female,A,Large,Employed,26,1,43435,1,89,1223
2009,Female,A,Small,Unemployed,19,1,5240,0,119,1119
2009,Male,B,Small,Employed,24,2,17925,1,259,1607
2009,Female,D,Large,Housewife,57,2,48055,0,259,523
2009,Male,A,Small,Housewife,50,7,8645,0,238,521
2009,Female,E,Medium,Employed,43,13,29730,0,59,140
2009,Male,D,Medium,Employed,43,1,8240,1,150,1375
2009,Male,B,Medium,Housewife,52,0,18570,1,16,211
2009,Female,A,Medium,Self-employed,20,10,4935,0,284,815
2009,Male,A,Small,Unemployed,18,2,22325,1,223,454
2009,Male,D,Large,Self-employed,54,0,29500,0,72,1350
2009,Male,A,Medium,Unemployed,27,3,20370,0,212,246
2009,Male,A,Large,Employed,35,2,5395,1,170,138
2009,Male,A,Medium,Housewife,51,0,8215,0,238,1053
2009,Male,A,Large,Employed,48,3,5340,1,25,89
2009,Male,C,Medium,Self-employed,25,1,11305,0,223,631
2009,Male,A,Small,Employed,23,11,12350,0,203,494
2009,Male,D,Large,Employed,23,9,9785,0,133,809
2009,Male,D,Medium,Employed,29,5,29990,1,63,203
2009,Male,A,Large,Unemployed,58,5,6760,0,66,767
2009,Female,C,Medium,Housewife,45,11,8915,1,223,851
2009,Male,A,Large,Self-employed,43,4,13335,0,273,949
2009,Male,C,Small,Employed,40,15,25780,1,290,1288
2009,Male,D,Small,Employed,27,12,8270,0,66,301
2009,Female,D,Small,Housewife,53,2,44520,1,235,954
2009,Male,B,Large,Employed,22,3,18895,0,40,481
2009,Female,B,Small,Housewife,43,1,3185,0,290,195
2009,Male,D,Large,Self-employed,60,3,7735,1,88,540
2009,Male,D,Large,Self-employed,38,9,17655,1,26,754
2009,Male,C,Medium,Housewife,37,7,6545,1,33,137
2009,Female,B,Large,Employed,41,0,40705,0,212,455
2009,Male,B,Medium,Housewife,23,9,28440,1,59,1035
2009,Male,B,Large,Housewife,32,2,6640,1,294,1510
2009,Female,A,Large,Employed,42,0,8570,1,59,14
2009,Male,C,Small,Employed,44,7,15865,0,25,18
2009,Female,E,Medium,Housewife,43,3,9180,0,51,1133
2009,Male,C,Small,Self-employed,24,10,31685,0,273,2573
2009,Female,D,Medium,Housewife,20,12,9005,0,79,224
2009,Female,D,Medium,Unemployed,22,3,21310,0,259,899
2009,Male,C,Small,Employed,34,13,26170,0,277,888
2009,Male,E,Large,Employed,26,15,9410,0,167,318
2009,Female,B,Large,Employed,41,2,4885,1,24,226
2009,Female,B,Large,Employed,39,0,12950,0,140,842
2009,Male,B,Small,Employed,32,4,16715,0,184,2128
2009,Male,C,Medium,Self-employed,31,4,19230,0,141,85
2009,Male,A,Large,Self-employed,42,0,15010,1,254,125
2009,Male,B,Small,Retired,47,4,28990,0,98,1283
2009,Male,E,Medium,Employed,26,0,12485,0,249,278
2009,Female,C,Small,Employed,60,2,2045,1,31,795
2009,Male,B,Medium,Housewife,18,11,23040,0,66,942
2009,Male,B,Small,Employed,20,0,17190,0,64,93
2009,Male,C,Medium,Unemployed,57,0,27300,1,171,553
2009,Female,D,Medium,Housewife,29,6,5280,0,203,907
2009,Male,D,Medium,Unemployed,38,12,19790,0,111,347
2009,Male,E,Small,Employed,34,0,13030,0,89,85
2009,Male,B,Small,Unemployed,21,8,19425,0,277,621
2009,Male,C,Small,Self-employed,27,7,8540,0,20,270
2009,Female,E,Small,Employed,29,8,18175,0,170,167
2009,Male,A,Medium,Self-employed,24,2,27335,0,286,1114
2009,Male,C,Medium,Unemployed,24,11,28895,1,26,1000
2009,Male,E,Small,Employed,36,9,20060,1,34,170
2009,Female,A,Large,Housewife,46,13,45515,0,223,161
2009,Male,A,Medium,Housewife,49,1,27510,0,57,271
2009,Male,D,Large,Housewife,18,4,23675,1,82,221
2009,Female,B,Large,Employed,39,15,2890,1,149,327
2009,Female,C,Large,Employed,32,0,13200,1,153,452
2009,Female,B,Large,Employed,40,7,29130,1,32,692
2009,Male,A,Small,Housewife,52,0,6310,1,212,1726
2009,Male,B,Medium,Employed,41,0,37625,0,84,367
2009,Male,D,Small,Employed,28,0,17310,0,35,830
2009,Male,A,Medium,Housewife,28,6,4055,1,202,317
2009,Male,A,Medium,Housewife,31,2,5975,0,24,276
2009,Male,A,Large,Self-employed,35,2,7165,0,107,1455
2009,Male,D,Large,Housewife,52,3,7215,1,107,510
2009,Female,E,Large,Employed,18,10,11400,0,32,284
2009,Male,B,Small,Employed,28,9,14485,0,48,258
2009,Male,A,Medium,Employed,20,2,13775,0,48,765
2009,Male,A,Small,Housewife,55,2,21305,1,14,172
2009,Female,E,Large,Housewife,35,3,35290,1,140,397
2009,Male,D,Small,Employed,25,5,6390,0,114,558
2009,Female,A,Large,Employed,57,2,9980,1,139,287
2009,Female,B,Medium,Employed,44,9,24450,1,63,117
2009,Female,C,Large,Housewife,61,6,26740,0,250,1177
2009,Male,E,Large,Employed,35,11,15450,0,170,1092
2009,Male,B,Medium,Housewife,25,7,19130,1,294,754
2009,Male,E,Medium,Employed,25,3,9050,1,275,103
2009,Female,B,Small,Employed,33,1,19245,0,129,710
2009,Male,E,Small,Unemployed,23,4,1470,0,108,503
2009,Male,E,Medium,Employed,23,13,8430,0,99,3156
2009,Female,A,Small,Employed,33,12,9625,0,190,1077
2009,Male,A,Small,Employed,18,1,14065,0,273,872
2009,Female,D,Large,Housewife,20,5,11125,0,282,2367
2009,Male,A,Medium,Unemployed,37,0,24535,0,207,779
2009,Male,B,Large,Employed,30,0,18060,0,34,19
2009,Female,C,Small,Self-employed,32,9,4920,0,190,399
2009,Female,A,Small,Unemployed,34,0,2605,0,223,1065
2009,Female,A,Medium,Housewife,35,4,2005,1,27,108
2009,Female,A,Medium,Employed,25,0,22035,0,169,861
2009,Male,D,Large,Self-employed,22,2,16575,0,260,647
2009,Male,E,Small,Employed,33,4,15420,1,296,506
2009,Male,C,Medium,Employed,47,5,6040,1,171,1082
2009,Male,E,Medium,Unemployed,18,6,43345,0,67,3135
2009,Male,A,Large,Unemployed,25,2,9720,1,32,217
2009,Female,B,Medium,Employed,44,12,10000,1,64,8
2009,Male,A,Medium,Self-employed,36,1,8495,1,35,1351
2009,Male,C,Medium,Employed,21,12,3280,1,236,2811
2009,Male,B,Medium,Self-employed,36,1,33845,1,94,790
2009,Male,B,Medium,Housewife,22,7,17405,1,236,1305
2009,Male,D,Medium,Self-employed,44,3,16500,1,32,736
2009,Male,E,Medium,Housewife,61,9,9950,1,31,1222
2009,Male,E,Small,Housewife,23,1,17510,0,130,14
2009,Male,A,Medium,Employed,37,0,4740,1,201,554
2009,Male,C,Large,Housewife,33,1,20275,1,107,717
2009,Male,A,Large,Self-employed,46,2,12500,1,249,798
2009,Female,E,Large,Housewife,32,1,16355,0,213,158
2009,Male,E,Medium,Self-employed,36,0,6885,1,141,411
2009,Female,D,Medium,Housewife,46,1,20715,1,103,776
2009,Male,A,Medium,Unemployed,21,3,23220,1,32,734
2009,Male,C,Medium,Unemployed,22,5,19720,1,32,544
2009,Male,B,Medium,Employed,20,0,7570,0,93,806
2009,Male,D,Small,Housewife,25,12,4325,0,201,1246
2009,Male,D,Medium,Unemployed,46,8,38660,1,169,655
2009,Male,D,Small,Unemployed,21,4,17025,0,58,2172
2009,Male,A,Small,Self-employed,31,0,14915,1,149,8
2009,Male,E,Large,Self-employed,41,8,3255,1,225,267
2009,Male,E,Small,Self-employed,28,9,9045,0,59,24
2009,Male,A,Medium,Employed,21,0,25880,0,59,2153
2009,Female,C,Large,Housewife,20,1,25480,0,254,25
2009,Male,C,Small,Employed,30,7,46660,0,149,570
2009,Male,A,Large,Employed,27,3,23190,0,41,881
2009,Female,D,Large,Housewife,49,7,28720,0,178,1004
2009,Male,A,Medium,Employed,22,0,7095,0,25,1333
2009,Male,D,Medium,Unemployed,56,6,17710,1,182,661
2009,Female,E,Medium,Housewife,48,5,25710,1,169,567
2009,Female,D,Medium,Employed,42,0,28625,1,46,89
2009,Male,B,Medium,Self-employed,28,4,4835,0,54,542
2009,Male,B,Large,Self-employed,38,4,17505,0,235,1577
2009,Female,C,Small,Employed,24,1,38020,1,32,507
2009,Male,D,Medium,Unemployed,19,8,28280,0,225,832
2009,Female,D,Medium,Self-employed,44,10,12890,0,95,800
2009,Female,B,Medium,Employed,42,11,16695,1,129,51
2009,Male,E,Medium,Employed,23,3,4710,1,38,2527
2009,Male,D,Large,Housewife,54,13,8130,0,32,709
2009,Male,B,Small,Self-employed,23,3,21630,0,213,901
2009,Female,E,Small,Unemployed,23,2,6795,1,184,2913
2009,Female,E,Small,Employed,21,2,16435,1,149,76
2009,Female,D,Large,Employed,32,5,8445,0,213,452
2009,Male,B,Large,Employed,75,0,33165,0,290,690
2009,Male,C,Large,Employed,40,5,10010,1,150,727
2009,Male,A,Medium,Self-employed,19,1,9880,1,251,614
2009,Female,C,Medium,Self-employed,31,0,27210,1,94,291
2009,Male,B,Small,Employed,27,11,2900,1,284,492
2009,Female,C,Small,Housewife,21,0,21320,0,175,1077
2009,Female,B,Large,Employed,43,14,7625,1,282,1148
2009,Male,A,Large,Self-employed,52,0,27375,0,296,77
2009,Male,A,Small,Housewife,30,5,8540,0,156,1025
2009,Male,D,Medium,Self-employed,37,1,23040,1,65,434
2009,Female,D,Medium,Retired,56,3,23110,1,59,423
2009,Male,E,Small,Unemployed,23,4,8430,0,57,2501
2009,Male,D,Medium,Housewife,38,13,8995,1,60,910
2009,Male,C,Small,Unemployed,22,0,26640,1,276,625
2009,Male,D,Large,Housewife,35,9,25665,1,236,196
2009,Female,C,Medium,Unemployed,56,2,18640,1,238,609
2009,Male,E,Medium,Unemployed,26,10,22365,0,271,844
2009,Female,A,Large,Housewife,64,6,14885,1,178,92
2009,Female,C,Medium,Employed,29,6,29760,1,148,231
2009,Female,D,Medium,Unemployed,22,5,12815,0,35,1017
2009,Male,D,Medium,Housewife,56,5,6760,1,202,331
2009,Female,D,Small,Unemployed,33,0,13510,0,184,4431
2009,Male,E,Small,Housewife,48,10,45210,1,99,92
2009,Male,A,Large,Employed,26,10,29735,1,296,1053
2009,Male,B,Small,Unemployed,18,4,8680,0,133,2364
2009,Male,D,Small,Self-employed,35,0,7895,0,271,237
2009,Male,A,Small,Employed,18,1,21285,1,294,5003
2009,Female,B,Medium,Unemployed,46,5,8350,1,24,655
2009,Female,B,Medium,Employed,33,0,35110,0,103,2350
2009,Female,A,Small,Housewife,45,1,5330,1,37,799
2009,Male,A,Large,Employed,34,3,4745,0,90,1681
2009,Male,A,Medium,Unemployed,37,8,23115,1,31,283
2009,Male,E,Small,Housewife,45,1,23070,0,34,835
